"date.x","month_year","swap","IPCA","IPCA_lag","ipcaanual","ipca_exp","ipca","selic","juro_real","juro_real_lag","IBC","hiato","hiato_lag","M1"
2003-02-01,"2003-02",29.44,1.57,2.25,15.8471239486794,0.55,11.56,25.6775,8.48564531966753,9.25217086520171,102.12,0.940647224764418,-0.871086291827939,93602.937
2003-03-01,"2003-03",27.62,1.23,1.57,16.5726079256941,0.53,11.01,26.3163157894737,8.35848835945272,8.48564531966753,101.72,0.764971265675754,0.940647224764418,89822.584
2003-04-01,"2003-04",25.21,0.97,1.23,16.7692085541402,0.54,9.58,26.319,8.17834732641185,8.35848835945272,101.08,0.416089086494716,0.764971265675754,87410.599
2003-05-01,"2003-05",23.29,0.61,0.97,17.2353065824971,0.49,8.87,26.3080952380952,7.73895588289666,8.17834732641185,99.97,-0.405543662663052,0.416089086494716,86231.763
2003-06-01,"2003-06",22.29,-0.15,0.61,16.5698602097425,0.55,8.07,26.0865,8.16389397150714,7.73895588289666,100.14,-0.0541454222231281,-0.405543662663052,88466.315
2003-07-01,"2003-07",20.92,0.2,-0.15,15.4293901869375,0.85,6.91,25.3608695652174,8.60394338235344,8.16389397150714,98.92,-1.27013932738917,-0.0541454222231281,87050.128
2003-08-01,"2003-08",20.75,0.34,0.2,15.0738699588406,0.55,6.2,23.502380952381,7.32443516200076,8.60394338235344,99.76,-0.669436394846244,-1.27013932738917,87318.737
2003-09-01,"2003-09",18.38,0.78,0.34,15.1424207153689,0.4,6.22,21.0236363636364,5.10777488585705,7.32443516200076,101.7,0.82789730266968,-0.669436394846244,88450.654
2003-10-01,"2003-10",17.61,0.29,0.78,13.9831544126378,0.5,6.51,19.5373913043478,4.87285767825194,5.10777488585705,101.91,0.487582058659822,0.82789730266968,88533.279
2003-11-01,"2003-11",17.01,0.34,0.29,11.0179548996707,0.47,6.14,18.3145,6.57240093003273,4.87285767825194,102.02,-0.0336532752637287,0.487582058659822,95230.124
2003-12-01,"2003-12",15.78,0.52,0.34,9.29994932923512,0.5,5.8,16.9104545454545,6.9629540204954,6.57240093003273,101.75,-1.02971168571054,-0.0336532752637287,112765.87
2004-01-01,"2004-01",15.35,0.76,0.52,7.70721657128348,0.5,5.91,16.3171428571429,7.99382488931102,6.9629540204954,103.67,0.058308280315113,-1.02971168571054,101206.857
2004-02-01,"2004-02",15.54,0.61,0.76,6.68920999543992,0.4,6.03,16.2994444444444,9.00769107711574,7.99382488931102,104.7,0.225117382951523,0.058308280315113,102857.652
2004-03-01,"2004-03",15.35,0.47,0.61,5.88822412567269,0.35,5.64,16.1917391304348,9.73055794432196,9.00769107711574,105.82,0.52056735897737,0.225117382951523,101282.219
2004-04-01,"2004-04",15.5,0.37,0.47,5.2589982717022,0.36,5.55,15.956,10.1625532295927,9.73055794432196,106.55,0.515750163258745,0.52056735897737,101821.601
2004-05-01,"2004-05",17.72,0.51,0.37,5.15437746037952,0.3,5.6,15.7704761904762,10.0957268603455,10.1625532295927,106.34,-0.331622862586414,0.515750163258745,103074.482
2004-06-01,"2004-06",17.82,0.71,0.51,6.06006363580192,0.4,6,15.7990476190476,9.18251757484161,10.0957268603455,107.18,-0.0668195572117241,-0.331622862586414,104182.65
2004-07-01,"2004-07",17.03,0.91,0.71,6.81158704080609,0.6,6.35,15.7736363636364,8.39052163826235,9.18251757484161,107.67,-0.0974725207219323,-0.0668195572117241,104856.804
2004-08-01,"2004-08",17.79,0.69,0.91,7.1841608445163,0.5,6.35,15.8613636363636,8.09560174141277,8.39052163826235,108.16,-0.0756460567874647,-0.0974725207219323,107417.168
2004-09-01,"2004-09",17.75,0.33,0.69,6.70556516700063,0.4,6.27,16.0938095238095,8.79827058890108,8.09560174141277,109.15,0.504718240981421,-0.0756460567874647,111720.476
2004-10-01,"2004-10",17.59,0.44,0.33,6.86516068774097,0.4,6.18,16.41,8.93166608353209,8.79827058890108,108.73,-0.254017382959949,0.504718240981421,111602.434
2004-11-01,"2004-11",17.99,0.69,0.44,7.23792136384929,0.4,6.22,16.9585,9.06449743945485,8.93166608353209,109.7,0.418449462428668,-0.254017382959949,115140.42
2004-12-01,"2004-12",17.69,0.86,0.69,7.60064413806041,0.45,6.24,17.5008695652174,9.20089791883976,9.06449743945485,108.88,-0.666410716565841,0.418449462428668,129659.697
2005-01-01,"2005-01",18.31,0.58,0.86,7.40842385278009,0.5,6.01,17.9309523809524,9.7967441944731,9.20089791883976,109.57,-0.251998202192293,-0.666410716565841,120494.681
2005-02-01,"2005-02",18.7,0.59,0.58,7.38707241179948,0.4,5.72,18.4733333333333,10.3236457355138,9.7967441944731,110.25,0.153820949680974,-0.251998202192293,119527.456
2005-03-01,"2005-03",18.78,0.61,0.59,7.53671101175617,0.4,5.55,18.9727272727273,10.634522995334,10.3236457355138,110.32,-0.0158194666317129,0.153820949680974,118560.874
2005-04-01,"2005-04",19.22,0.87,0.61,8.07241247141428,0.4,5.57,19.3165,10.4042162763414,10.634522995334,111.22,0.699395930710608,-0.0158194666317129,115498.041
2005-05-01,"2005-05",18.91,0.49,0.87,8.05090766344061,0.36,5.85,19.6052380952381,10.693413578521,10.4042162763414,111.01,0.381100812434836,0.699395930710608,117556.869
2005-06-01,"2005-06",18.39,-0.02,0.49,7.26769683438384,0.36,5.38,19.7454545454545,11.6323535223617,10.693413578521,110.36,-0.337354144958016,0.381100812434836,118793.487
2005-07-01,"2005-07",18.16,0.25,-0.02,6.56611443511022,0.5,4.85,19.722380952381,12.3456378108651,11.6323535223617,110.41,-0.384376666003141,-0.337354144958016,118562.751
2005-08-01,"2005-08",18.22,0.17,0.25,6.01576803024129,0.4,4.9,19.7482608695652,12.9532550624042,12.3456378108651,111.21,0.249738370177416,-0.384376666003141,118761.803
2005-09-01,"2005-09",18,0.35,0.17,6.03690144358331,0.31,4.71,19.6061904761905,12.7967611726439,12.9532550624042,110.76,-0.443272526704776,0.249738370177416,123969.884
